======== dream eval: base model + DiffuCoder-aligned prompts + EvalPlus ========
Started: 2026-03-30T00:20:19-04:00
Job ID: 5515953  Host: d1028
[eval-gen] 63/164 task_id=HumanEval/62 wall_s=2.4 completion_chars=6345
[eval-gen] 64/164 task_id=HumanEval/63 wall_s=2.4 completion_chars=1773
[eval-gen] 65/164 task_id=HumanEval/64 wall_s=2.4 completion_chars=2997
[eval-gen] 66/164 task_id=HumanEval/65 wall_s=2.1 completion_chars=6205
[eval-gen] 67/164 task_id=HumanEval/66 wall_s=2.4 completion_chars=6306
[eval-gen] 68/164 task_id=HumanEval/67 wall_s=2.5 completion_chars=5787
[eval-gen] 69/164 task_id=HumanEval/68 wall_s=2.6 completion_chars=4908
[eval-gen] 70/164 task_id=HumanEval/69 wall_s=2.4 completion_chars=6328
[eval-gen] 71/164 task_id=HumanEval/70 wall_s=2.4 completion_chars=6339
[eval-gen] 72/164 task_id=HumanEval/71 wall_s=2.4 completion_chars=6028
[eval-gen] 73/164 task_id=HumanEval/72 wall_s=2.6 completion_chars=5669
[eval-gen] 74/164 task_id=HumanEval/73 wall_s=2.4 completion_chars=6164
[eval-gen] 75/164 task_id=HumanEval/74 wall_s=2.5 completion_chars=5928
[eval-gen] 76/164 task_id=HumanEval/75 wall_s=2.1 completion_chars=4325
[eval-gen] 77/164 task_id=HumanEval/76 wall_s=2.4 completion_chars=6269
[eval-gen] 78/164 task_id=HumanEval/77 wall_s=2.4 completion_chars=6402
[eval-gen] 79/164 task_id=HumanEval/78 wall_s=2.6 completion_chars=4504
[eval-gen] 80/164 task_id=HumanEval/79 wall_s=2.4 completion_chars=1068
[eval-gen] 81/164 task_id=HumanEval/80 wall_s=2.4 completion_chars=6152
[eval-gen] 82/164 task_id=HumanEval/81 wall_s=2.6 completion_chars=5117
[eval-gen] 83/164 task_id=HumanEval/82 wall_s=2.1 completion_chars=6130
[eval-gen] 84/164 task_id=HumanEval/83 wall_s=2.1 completion_chars=6299
[eval-gen] 85/164 task_id=HumanEval/84 wall_s=2.4 completion_chars=6244
[eval-gen] 86/164 task_id=HumanEval/85 wall_s=2.1 completion_chars=6207
[eval-gen] 87/164 task_id=HumanEval/86 wall_s=2.4 completion_chars=6375
[eval-gen] 88/164 task_id=HumanEval/87 wall_s=2.6 completion_chars=6090
[eval-gen] 89/164 task_id=HumanEval/88 wall_s=2.5 completion_chars=6276
[eval-gen] 90/164 task_id=HumanEval/89 wall_s=2.4 completion_chars=6078
[eval-gen] 91/164 task_id=HumanEval/90 wall_s=2.4 completion_chars=6367
[eval-gen] 92/164 task_id=HumanEval/91 wall_s=2.4 completion_chars=6415
[eval-gen] 93/164 task_id=HumanEval/92 wall_s=2.4 completion_chars=6360
[eval-gen] 94/164 task_id=HumanEval/93 wall_s=2.4 completion_chars=5413
[eval-gen] 95/164 task_id=HumanEval/94 wall_s=2.6 completion_chars=4811
[eval-gen] 96/164 task_id=HumanEval/95 wall_s=2.4 completion_chars=6321
[eval-gen] 97/164 task_id=HumanEval/96 wall_s=2.4 completion_chars=6117
[eval-gen] 98/164 task_id=HumanEval/97 wall_s=2.4 completion_chars=6307
[eval-gen] 99/164 task_id=HumanEval/98 wall_s=2.1 completion_chars=6246
[eval-gen] 100/164 task_id=HumanEval/99 wall_s=2.4 completion_chars=6312
[eval-gen] 101/164 task_id=HumanEval/100 wall_s=2.4 completion_chars=6051
[eval-gen] 102/164 task_id=HumanEval/101 wall_s=2.4 completion_chars=6502
[eval-gen] 103/164 task_id=HumanEval/102 wall_s=2.4 completion_chars=6163
[eval-gen] 104/164 task_id=HumanEval/103 wall_s=2.4 completion_chars=6176
[eval-gen] 105/164 task_id=HumanEval/104 wall_s=2.4 completion_chars=6275
[eval-gen] 106/164 task_id=HumanEval/105 wall_s=2.6 completion_chars=5975
[eval-gen] 107/164 task_id=HumanEval/106 wall_s=2.4 completion_chars=6360
[eval-gen] 108/164 task_id=HumanEval/107 wall_s=2.5 completion_chars=4921
[eval-gen] 109/164 task_id=HumanEval/108 wall_s=2.4 completion_chars=6193
[eval-gen] 110/164 task_id=HumanEval/109 wall_s=2.6 completion_chars=6130
[eval-gen] 111/164 task_id=HumanEval/110 wall_s=2.5 completion_chars=5386
[eval-gen] 112/164 task_id=HumanEval/111 wall_s=2.4 completion_chars=6463
[eval-gen] 113/164 task_id=HumanEval/112 wall_s=2.4 completion_chars=5585
[eval-gen] 114/164 task_id=HumanEval/113 wall_s=2.4 completion_chars=6063
[eval-gen] 115/164 task_id=HumanEval/114 wall_s=2.1 completion_chars=2080
[eval-gen] 116/164 task_id=HumanEval/115 wall_s=2.6 completion_chars=6286
[eval-gen] 117/164 task_id=HumanEval/116 wall_s=2.4 completion_chars=6375
[eval-gen] 118/164 task_id=HumanEval/117 wall_s=2.5 completion_chars=3009
[eval-gen] 119/164 task_id=HumanEval/118 wall_s=2.4 completion_chars=2008
[eval-gen] 120/164 task_id=HumanEval/119 wall_s=2.4 completion_chars=6159
[eval-gen] 121/164 task_id=HumanEval/120 wall_s=2.5 completion_chars=6100
[eval-gen] 122/164 task_id=HumanEval/121 wall_s=2.4 completion_chars=6293
[eval-gen] 123/164 task_id=HumanEval/122 wall_s=2.4 completion_chars=6232
[eval-gen] 124/164 task_id=HumanEval/123 wall_s=2.6 completion_chars=5853
[eval-gen] 125/164 task_id=HumanEval/124 wall_s=2.6 completion_chars=4496
[eval-gen] 126/164 task_id=HumanEval/125 wall_s=2.4 completion_chars=6192
[eval-gen] 127/164 task_id=HumanEval/126 wall_s=2.6 completion_chars=6376
[eval-gen] 128/164 task_id=HumanEval/127 wall_s=2.6 completion_chars=5935
[eval-gen] 129/164 task_id=HumanEval/128 wall_s=2.4 completion_chars=6102
[eval-gen] 130/164 task_id=HumanEval/129 wall_s=3.1 completion_chars=3978
[eval-gen] 131/164 task_id=HumanEval/130 wall_s=2.6 completion_chars=5887
[eval-gen] 132/164 task_id=HumanEval/131 wall_s=2.1 completion_chars=6266
[eval-gen] 133/164 task_id=HumanEval/132 wall_s=2.4 completion_chars=5830
[eval-gen] 134/164 task_id=HumanEval/133 wall_s=2.4 completion_chars=6385
[eval-gen] 135/164 task_id=HumanEval/134 wall_s=2.4 completion_chars=6343
[eval-gen] 136/164 task_id=HumanEval/135 wall_s=2.4 completion_chars=6312
[eval-gen] 137/164 task_id=HumanEval/136 wall_s=2.4 completion_chars=6098
[eval-gen] 138/164 task_id=HumanEval/137 wall_s=2.4 completion_chars=6137
[eval-gen] 139/164 task_id=HumanEval/138 wall_s=2.1 completion_chars=6259
[eval-gen] 140/164 task_id=HumanEval/139 wall_s=2.4 completion_chars=6222
[eval-gen] 141/164 task_id=HumanEval/140 wall_s=2.4 completion_chars=6419
[eval-gen] 142/164 task_id=HumanEval/141 wall_s=2.5 completion_chars=5161
[eval-gen] 143/164 task_id=HumanEval/142 wall_s=2.4 completion_chars=6082
[eval-gen] 144/164 task_id=HumanEval/143 wall_s=2.4 completion_chars=5917
[eval-gen] 145/164 task_id=HumanEval/144 wall_s=2.4 completion_chars=6335
[eval-gen] 146/164 task_id=HumanEval/145 wall_s=2.4 completion_chars=5809
[eval-gen] 147/164 task_id=HumanEval/146 wall_s=2.4 completion_chars=6173
[eval-gen] 148/164 task_id=HumanEval/147 wall_s=2.4 completion_chars=3958
[eval-gen] 149/164 task_id=HumanEval/148 wall_s=2.5 completion_chars=759
[eval-gen] 150/164 task_id=HumanEval/149 wall_s=2.5 completion_chars=6312
[eval-gen] 151/164 task_id=HumanEval/150 wall_s=2.1 completion_chars=6075
[eval-gen] 152/164 task_id=HumanEval/151 wall_s=2.4 completion_chars=6206
[eval-gen] 153/164 task_id=HumanEval/152 wall_s=2.5 completion_chars=6199
[eval-gen] 154/164 task_id=HumanEval/153 wall_s=2.6 completion_chars=2242
[eval-gen] 155/164 task_id=HumanEval/154 wall_s=2.4 completion_chars=6423
[eval-gen] 156/164 task_id=HumanEval/155 wall_s=2.1 completion_chars=5987
[eval-gen] 157/164 task_id=HumanEval/156 wall_s=2.4 completion_chars=557
[eval-gen] 158/164 task_id=HumanEval/157 wall_s=2.4 completion_chars=6377
[eval-gen] 159/164 task_id=HumanEval/158 wall_s=2.4 completion_chars=6106
[eval-gen] 160/164 task_id=HumanEval/159 wall_s=2.6 completion_chars=5041
[eval-gen] 161/164 task_id=HumanEval/160 wall_s=2.5 completion_chars=5076
[eval-gen] 162/164 task_id=HumanEval/161 wall_s=2.4 completion_chars=6250
[eval-gen] 163/164 task_id=HumanEval/162 wall_s=2.1 completion_chars=6437
[eval-gen] 164/164 task_id=HumanEval/163 wall_s=2.4 completion_chars=6324
Wrote 164 lines to /scratch/biggs.s/dream_eval/base_5515953/humaneval_pass1.jsonl
Load from ground-truth from /home/biggs.s/.cache/evalplus/fe585eb4df8c88d844eeb463ea4d0302.pkl
Reading samples...

0it [00:00, ?it/s]
1it [00:00,  2.64it/s]
164it [00:00, 425.89it/s]

  0%|          | 0/164 [00:00<?, ?it/s]
  1%|          | 1/164 [00:01<04:08,  1.52s/it]
 10%|▉         | 16/164 [00:03<00:28,  5.24it/s]
 15%|█▍        | 24/164 [00:03<00:16,  8.61it/s]
 22%|██▏       | 36/164 [00:03<00:09, 14.06it/s]
 25%|██▌       | 41/164 [00:03<00:07, 16.39it/s]
 28%|██▊       | 46/164 [00:04<00:06, 19.35it/s]
 31%|███       | 51/164 [00:04<00:08, 13.41it/s]
 36%|███▌      | 59/164 [00:04<00:05, 19.16it/s]
 41%|████      | 67/164 [00:05<00:04, 22.82it/s]
 44%|████▍     | 72/164 [00:05<00:05, 16.58it/s]
 48%|████▊     | 79/164 [00:05<00:04, 20.72it/s]
 57%|█████▋    | 94/164 [00:05<00:02, 33.52it/s]
 61%|██████    | 100/164 [00:07<00:04, 12.86it/s]
 80%|███████▉  | 131/164 [00:08<00:01, 18.08it/s]
 88%|████████▊ | 144/164 [00:08<00:00, 23.49it/s]
 99%|█████████▉| 162/164 [00:09<00:00, 32.40it/s]
100%|██████████| 164/164 [00:09<00:00, 17.53it/s]
humaneval (base tests)
pass@1:	0.000
humaneval+ (base + extra tests)
pass@1:	0.000
================================
MBPP+  pass@1  (n=1, temp=0.2)
================================
Loading model 'Dream-org/Dream-v0-Instruct-7B'...
[eval-gen] 1/378 task_id=Mbpp/2 wall_s=3.1 completion_chars=6446
[eval-gen] 2/378 task_id=Mbpp/3 wall_s=2.1 completion_chars=6020
[eval-gen] 3/378 task_id=Mbpp/4 wall_s=2.1 completion_chars=6342
[eval-gen] 4/378 task_id=Mbpp/6 wall_s=2.1 completion_chars=6359
[eval-gen] 5/378 task_id=Mbpp/7 wall_s=2.1 completion_chars=6360
[eval-gen] 6/378 task_id=Mbpp/8 wall_s=2.1 completion_chars=6487
[eval-gen] 7/378 task_id=Mbpp/9 wall_s=2.1 completion_chars=6214
[eval-gen] 8/378 task_id=Mbpp/11 wall_s=2.1 completion_chars=6395
[eval-gen] 9/378 task_id=Mbpp/12 wall_s=2.1 completion_chars=6442
[eval-gen] 10/378 task_id=Mbpp/14 wall_s=2.1 completion_chars=6425
[eval-gen] 11/378 task_id=Mbpp/16 wall_s=2.1 completion_chars=6446
[eval-gen] 12/378 task_id=Mbpp/17 wall_s=2.1 completion_chars=6463
[eval-gen] 13/378 task_id=Mbpp/18 wall_s=2.1 completion_chars=6383
[eval-gen] 14/378 task_id=Mbpp/19 wall_s=2.1 completion_chars=6418
[eval-gen] 15/378 task_id=Mbpp/20 wall_s=2.1 completion_chars=6460
[eval-gen] 16/378 task_id=Mbpp/56 wall_s=2.1 completion_chars=6406
[eval-gen] 17/378 task_id=Mbpp/57 wall_s=2.1 completion_chars=6424
[eval-gen] 18/378 task_id=Mbpp/58 wall_s=2.1 completion_chars=6481
[eval-gen] 19/378 task_id=Mbpp/59 wall_s=2.1 completion_chars=6471
[eval-gen] 20/378 task_id=Mbpp/61 wall_s=2.1 completion_chars=6095
[eval-gen] 21/378 task_id=Mbpp/62 wall_s=2.1 completion_chars=6378
[eval-gen] 22/378 task_id=Mbpp/63 wall_s=2.1 completion_chars=6303
[eval-gen] 23/378 task_id=Mbpp/64 wall_s=2.1 completion_chars=6474
[eval-gen] 24/378 task_id=Mbpp/65 wall_s=2.1 completion_chars=6288
[eval-gen] 25/378 task_id=Mbpp/66 wall_s=2.1 completion_chars=6432
[eval-gen] 26/378 task_id=Mbpp/67 wall_s=2.1 completion_chars=6107
[eval-gen] 27/378 task_id=Mbpp/68 wall_s=2.1 completion_chars=6209
[eval-gen] 28/378 task_id=Mbpp/69 wall_s=2.1 completion_chars=6404
[eval-gen] 29/378 task_id=Mbpp/70 wall_s=2.1 completion_chars=6448
[eval-gen] 30/378 task_id=Mbpp/71 wall_s=2.1 completion_chars=5702
[eval-gen] 31/378 task_id=Mbpp/72 wall_s=2.1 completion_chars=6294
[eval-gen] 32/378 task_id=Mbpp/74 wall_s=2.1 completion_chars=6228
[eval-gen] 33/378 task_id=Mbpp/75 wall_s=2.1 completion_chars=6317
[eval-gen] 34/378 task_id=Mbpp/77 wall_s=2.1 completion_chars=6464
[eval-gen] 35/378 task_id=Mbpp/79 wall_s=2.1 completion_chars=6468
[eval-gen] 36/378 task_id=Mbpp/80 wall_s=2.1 completion_chars=6347
[eval-gen] 37/378 task_id=Mbpp/82 wall_s=2.1 completion_chars=6415
[eval-gen] 38/378 task_id=Mbpp/84 wall_s=2.1 completion_chars=6354
[eval-gen] 39/378 task_id=Mbpp/85 wall_s=2.1 completion_chars=6442
[eval-gen] 40/378 task_id=Mbpp/86 wall_s=2.1 completion_chars=6421
[eval-gen] 41/378 task_id=Mbpp/87 wall_s=2.4 completion_chars=6337
[eval-gen] 42/378 task_id=Mbpp/88 wall_s=2.4 completion_chars=6219
[eval-gen] 43/378 task_id=Mbpp/89 wall_s=2.1 completion_chars=6454
[eval-gen] 44/378 task_id=Mbpp/90 wall_s=2.1 completion_chars=6449
[eval-gen] 45/378 task_id=Mbpp/91 wall_s=2.1 completion_chars=6418
[eval-gen] 46/378 task_id=Mbpp/92 wall_s=2.1 completion_chars=6430
[eval-gen] 47/378 task_id=Mbpp/93 wall_s=2.1 completion_chars=6219
[eval-gen] 48/378 task_id=Mbpp/94 wall_s=2.1 completion_chars=6418
[eval-gen] 49/378 task_id=Mbpp/95 wall_s=2.1 completion_chars=6463
[eval-gen] 50/378 task_id=Mbpp/96 wall_s=2.1 completion_chars=6235
[eval-gen] 51/378 task_id=Mbpp/97 wall_s=2.4 completion_chars=6239
[eval-gen] 52/378 task_id=Mbpp/98 wall_s=2.1 completion_chars=6523
[eval-gen] 53/378 task_id=Mbpp/99 wall_s=2.1 completion_chars=6291
[eval-gen] 54/378 task_id=Mbpp/100 wall_s=2.1 completion_chars=6366
[eval-gen] 55/378 task_id=Mbpp/101 wall_s=2.1 completion_chars=6446
[eval-gen] 56/378 task_id=Mbpp/102 wall_s=2.1 completion_chars=6412
[eval-gen] 57/378 task_id=Mbpp/103 wall_s=2.1 completion_chars=6244
[eval-gen] 58/378 task_id=Mbpp/104 wall_s=2.1 completion_chars=6483
[eval-gen] 59/378 task_id=Mbpp/105 wall_s=2.1 completion_chars=6408
[eval-gen] 60/378 task_id=Mbpp/106 wall_s=2.1 completion_chars=6524
[eval-gen] 61/378 task_id=Mbpp/108 wall_s=2.4 completion_chars=5958
[eval-gen] 62/378 task_id=Mbpp/109 wall_s=2.1 completion_chars=6107
[eval-gen] 63/378 task_id=Mbpp/111 wall_s=2.4 completion_chars=6337
[eval-gen] 64/378 task_id=Mbpp/113 wall_s=2.1 completion_chars=6445
[eval-gen] 65/378 task_id=Mbpp/116 wall_s=2.1 completion_chars=6337
[eval-gen] 66/378 task_id=Mbpp/118 wall_s=2.1 completion_chars=6550
[eval-gen] 67/378 task_id=Mbpp/119 wall_s=2.1 completion_chars=5984
[eval-gen] 68/378 task_id=Mbpp/120 wall_s=2.1 completion_chars=6250
[eval-gen] 69/378 task_id=Mbpp/123 wall_s=2.1 completion_chars=6158
[eval-gen] 70/378 task_id=Mbpp/124 wall_s=2.1 completion_chars=6524
[eval-gen] 71/378 task_id=Mbpp/125 wall_s=2.1 completion_chars=6299
[eval-gen] 72/378 task_id=Mbpp/126 wall_s=2.1 completion_chars=6196
[eval-gen] 73/378 task_id=Mbpp/127 wall_s=2.1 completion_chars=6498
[eval-gen] 74/378 task_id=Mbpp/128 wall_s=2.1 completion_chars=6528
[eval-gen] 75/378 task_id=Mbpp/129 wall_s=2.1 completion_chars=6216
[eval-gen] 76/378 task_id=Mbpp/130 wall_s=2.1 completion_chars=6284
[eval-gen] 77/378 task_id=Mbpp/131 wall_s=2.1 completion_chars=3448
[eval-gen] 78/378 task_id=Mbpp/132 wall_s=2.1 completion_chars=6522
[eval-gen] 79/378 task_id=Mbpp/133 wall_s=2.1 completion_chars=6426
[eval-gen] 80/378 task_id=Mbpp/135 wall_s=2.1 completion_chars=6461
[eval-gen] 81/378 task_id=Mbpp/137 wall_s=2.1 completion_chars=6387
[eval-gen] 82/378 task_id=Mbpp/138 wall_s=2.1 completion_chars=6320
[eval-gen] 83/378 task_id=Mbpp/139 wall_s=2.1 completion_chars=6297
[eval-gen] 84/378 task_id=Mbpp/140 wall_s=2.1 completion_chars=6492
[eval-gen] 85/378 task_id=Mbpp/141 wall_s=2.1 completion_chars=6071
[eval-gen] 86/378 task_id=Mbpp/142 wall_s=2.1 completion_chars=6116
[eval-gen] 87/378 task_id=Mbpp/145 wall_s=2.1 completion_chars=6076
[eval-gen] 88/378 task_id=Mbpp/160 wall_s=2.1 completion_chars=6314
[eval-gen] 89/378 task_id=Mbpp/161 wall_s=2.1 completion_chars=6420
[eval-gen] 90/378 task_id=Mbpp/162 wall_s=2.1 completion_chars=6368
[eval-gen] 91/378 task_id=Mbpp/165 wall_s=2.1 completion_chars=6312
[eval-gen] 92/378 task_id=Mbpp/166 wall_s=2.1 completion_chars=6243
[eval-gen] 93/378 task_id=Mbpp/167 wall_s=2.1 completion_chars=6227
[eval-gen] 94/378 task_id=Mbpp/168 wall_s=2.1 completion_chars=6477
[eval-gen] 95/378 task_id=Mbpp/170 wall_s=2.1 completion_chars=6337
[eval-gen] 96/378 task_id=Mbpp/171 wall_s=2.1 completion_chars=6502
[eval-gen] 97/378 task_id=Mbpp/172 wall_s=2.1 completion_chars=6415
[eval-gen] 98/378 task_id=Mbpp/222 wall_s=2.1 completion_chars=6475
[eval-gen] 99/378 task_id=Mbpp/223 wall_s=2.1 completion_chars=6394
[eval-gen] 100/378 task_id=Mbpp/224 wall_s=2.1 completion_chars=6250
[eval-gen] 101/378 task_id=Mbpp/226 wall_s=2.1 completion_chars=6381
[eval-gen] 102/378 task_id=Mbpp/227 wall_s=2.1 completion_chars=6450
[eval-gen] 103/378 task_id=Mbpp/230 wall_s=2.1 completion_chars=6476
[eval-gen] 104/378 task_id=Mbpp/232 wall_s=2.1 completion_chars=6473
[eval-gen] 105/378 task_id=Mbpp/233 wall_s=2.1 completion_chars=6372
[eval-gen] 106/378 task_id=Mbpp/234 wall_s=2.1 completion_chars=6522
[eval-gen] 107/378 task_id=Mbpp/235 wall_s=2.1 completion_chars=6447
[eval-gen] 108/378 task_id=Mbpp/237 wall_s=2.4 completion_chars=6338
[eval-gen] 109/378 task_id=Mbpp/238 wall_s=2.1 completion_chars=6271
[eval-gen] 110/378 task_id=Mbpp/239 wall_s=2.1 completion_chars=6360
[eval-gen] 111/378 task_id=Mbpp/240 wall_s=2.1 completion_chars=6392
[eval-gen] 112/378 task_id=Mbpp/242 wall_s=2.1 completion_chars=6477
[eval-gen] 113/378 task_id=Mbpp/244 wall_s=2.1 completion_chars=6286
[eval-gen] 114/378 task_id=Mbpp/245 wall_s=2.1 completion_chars=5949
[eval-gen] 115/378 task_id=Mbpp/247 wall_s=2.1 completion_chars=5785
[eval-gen] 116/378 task_id=Mbpp/250 wall_s=2.1 completion_chars=6403
[eval-gen] 117/378 task_id=Mbpp/251 wall_s=2.1 completion_chars=6490
[eval-gen] 118/378 task_id=Mbpp/252 wall_s=2.1 completion_chars=6363
[eval-gen] 119/378 task_id=Mbpp/253 wall_s=2.1 completion_chars=6354
[eval-gen] 120/378 task_id=Mbpp/255 wall_s=2.1 completion_chars=6502
[eval-gen] 121/378 task_id=Mbpp/256 wall_s=2.1 completion_chars=6143
[eval-gen] 122/378 task_id=Mbpp/257 wall_s=2.1 completion_chars=6494
[eval-gen] 123/378 task_id=Mbpp/259 wall_s=2.1 completion_chars=6269
[eval-gen] 124/378 task_id=Mbpp/260 wall_s=2.1 completion_chars=6289
[eval-gen] 125/378 task_id=Mbpp/261 wall_s=2.1 completion_chars=6289
[eval-gen] 126/378 task_id=Mbpp/262 wall_s=2.1 completion_chars=6247
[eval-gen] 127/378 task_id=Mbpp/264 wall_s=2.1 completion_chars=6270
[eval-gen] 128/378 task_id=Mbpp/265 wall_s=2.4 completion_chars=6348
[eval-gen] 129/378 task_id=Mbpp/266 wall_s=2.1 completion_chars=6469
[eval-gen] 130/378 task_id=Mbpp/267 wall_s=2.1 completion_chars=6249
[eval-gen] 131/378 task_id=Mbpp/268 wall_s=2.1 completion_chars=6422
[eval-gen] 132/378 task_id=Mbpp/269 wall_s=2.1 completion_chars=6534
[eval-gen] 133/378 task_id=Mbpp/270 wall_s=2.1 completion_chars=6215
[eval-gen] 134/378 task_id=Mbpp/271 wall_s=2.1 completion_chars=6219
[eval-gen] 135/378 task_id=Mbpp/272 wall_s=2.1 completion_chars=6481
[eval-gen] 136/378 task_id=Mbpp/273 wall_s=2.1 completion_chars=6372
[eval-gen] 137/378 task_id=Mbpp/274 wall_s=2.1 completion_chars=6257
[eval-gen] 138/378 task_id=Mbpp/276 wall_s=2.1 completion_chars=6451
[eval-gen] 139/378 task_id=Mbpp/277 wall_s=2.4 completion_chars=6398
[eval-gen] 140/378 task_id=Mbpp/278 wall_s=2.1 completion_chars=6350
[eval-gen] 141/378 task_id=Mbpp/279 wall_s=2.1 completion_chars=6460
[eval-gen] 142/378 task_id=Mbpp/280 wall_s=2.1 completion_chars=6318
